No ,Name ,Product type ,Status ,Actives ,Has protected,Details
69819,YATES ZERO RAPID 1-HR ACTION WEEDKILLER CONCENTRATE,HERBICIDE,Registered,NONANOIC ACID | GLYPHOSATE AS AMMONIUM SALT,Yes,
69818,YATES ZERO RAPID 1-HR ACTION WEEDKILLER,HERBICIDE,Registered,NONANOIC ACID | GLYPHOSATE AS AMMONIUM SALT,Yes,
69769,SANONDA HERBICIDE GLYPHOSATE 700SG,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE MONO-AMMONIUM SALT,,
69727,CONQUEST KNOCKOUT DRY 700 SG HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE MONO-AMMONIUM SALT,,
69718,MACRO PROTECT GLYPHOSATE 450 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE,Yes,
69660,AGVANTAGE GLYPHOSATE 450 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
69601,ALLOUT 510 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
69596,AMGROW ERAZE TOTAL WEEDKILLER READY TO USE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,Yes,
69595,BARMAC CLEAR UP BIO 360 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
69522,PRO GLYDRY 700 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE MONO-AMMONIUM SALT,,
69415,BRUNNINGS GLYPHOSATE 360 WEED KILL VALUE PACK,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,Yes,
69292,ORION 450 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
69263,ACCENSI GLYPHOSATE 7.2 BIAQUATIC WEED KILLER READY TO USE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,Yes,
69251,SABAKEM GLYPHOSATE K-TECH 500SL HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE POTASSIUM SALT,,
69234,GLYPHOSATE,ACTIVE CONSTITUENT,Approved,GLYPHOSATE,,
69217,AGROCHINA GLYPHOSATE 450 SL HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
69148,GLYPHOSATE,ACTIVE CONSTITUENT,Approved,GLYPHOSATE,,
69131,GLYPHOSATE,ACTIVE CONSTITUENT,Approved,GLYPHOSATE,,
69121,FARMALINX BAZOOKA 800 SG HERBICIDE,HERBICIDE,Registered,GLYPHOSATE AS AMMONIUM SALT,Yes,
