Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,081096,2016,04,29,4.4
IDCJAC0016,081096,2016,04,30,8.5
IDCJAC0016,081096,2016,05,01,13.7
IDCJAC0016,081096,2016,05,02,8.9
IDCJAC0016,081096,2016,05,03,14.2
IDCJAC0016,081096,2016,05,04,12.3
IDCJAC0016,081096,2016,05,05,11.4
IDCJAC0016,081096,2016,05,06,14.1
IDCJAC0016,081096,2016,05,07,12.3
IDCJAC0016,081096,2016,05,08,3.5
IDCJAC0016,081096,2016,05,09,7.2
IDCJAC0016,081096,2016,05,10,10.4
IDCJAC0016,081096,2016,05,11,10.6
IDCJAC0016,081096,2016,05,12,6.3
IDCJAC0016,081096,2016,05,13,13.2
IDCJAC0016,081096,2016,05,14,10.5
IDCJAC0016,081096,2016,05,15,13.8
IDCJAC0016,081096,2016,05,16,10.7
IDCJAC0016,081096,2016,05,17,11.0
IDCJAC0016,081096,2016,05,18,9.4
IDCJAC0016,081096,2016,05,19,8.2
IDCJAC0016,081096,2016,05,20,10.6
IDCJAC0016,081096,2016,05,21,9.4
IDCJAC0016,081096,2016,05,22,10.7
IDCJAC0016,081096,2016,05,23,10.7
IDCJAC0016,081096,2016,05,24,10.0
IDCJAC0016,081096,2016,05,25,7.2
IDCJAC0016,081096,2016,05,26,4.7
IDCJAC0016,081096,2016,05,27,10.2
IDCJAC0016,081096,2016,05,28,10.4
IDCJAC0016,081096,2016,05,29,10.6
IDCJAC0016,081096,2016,05,30,10.6
IDCJAC0016,081096,2016,05,31,10.5
IDCJAC0016,081096,2016,06,01,10.2
IDCJAC0016,081096,2016,06,02,10.4
IDCJAC0016,081096,2016,06,03,3.9
IDCJAC0016,081096,2016,06,04,4.1
IDCJAC0016,081096,2016,06,05,4.3
IDCJAC0016,081096,2016,06,06,5.2
IDCJAC0016,081096,2016,06,07,5.9
IDCJAC0016,081096,2016,06,08,6.8
IDCJAC0016,081096,2016,06,09,6.1
IDCJAC0016,081096,2016,06,10,8.7
IDCJAC0016,081096,2016,06,11,8.5
IDCJAC0016,081096,2016,06,12,10.0
IDCJAC0016,081096,2016,06,13,10.1
IDCJAC0016,081096,2016,06,14,9.9
IDCJAC0016,081096,2016,06,15,10.1
IDCJAC0016,081096,2016,06,16,8.6
IDCJAC0016,081096,2016,06,17,4.8
IDCJAC0016,081096,2016,06,18,6.5
IDCJAC0016,081096,2016,06,19,5.4
IDCJAC0016,081096,2016,06,20,6.2
IDCJAC0016,081096,2016,06,21,5.5
IDCJAC0016,081096,2016,06,22,9.5
IDCJAC0016,081096,2016,06,23,7.1
IDCJAC0016,081096,2016,06,24,5.9
IDCJAC0016,081096,2016,06,25,9.8
IDCJAC0016,081096,2016,06,26,7.1
IDCJAC0016,081096,2016,06,27,9.4
IDCJAC0016,081096,2016,06,28,8.1
IDCJAC0016,081096,2016,06,29,9.2
IDCJAC0016,081096,2016,06,30,4.6
IDCJAC0016,081096,2016,07,01,8.0
IDCJAC0016,081096,2016,07,02,6.9
IDCJAC0016,081096,2016,07,03,4.9
IDCJAC0016,081096,2016,07,04,5.1
IDCJAC0016,081096,2016,07,05,4.2
IDCJAC0016,081096,2016,07,06,7.7
IDCJAC0016,081096,2016,07,07,8.2
IDCJAC0016,081096,2016,07,08,7.6
IDCJAC0016,081096,2016,07,09,6.2
IDCJAC0016,081096,2016,07,10,4.1
IDCJAC0016,081096,2016,07,11,10.7
IDCJAC0016,081096,2016,07,12,8.9
IDCJAC0016,081096,2016,07,13,10.2
IDCJAC0016,081096,2016,07,14,9.0
IDCJAC0016,081096,2016,07,15,11.9
IDCJAC0016,081096,2016,07,16,11.0
IDCJAC0016,081096,2016,07,17,11.1
IDCJAC0016,081096,2016,07,18,5.3
IDCJAC0016,081096,2016,07,19,10.3
IDCJAC0016,081096,2016,07,20,8.2
IDCJAC0016,081096,2016,07,21,4.1
IDCJAC0016,081096,2016,07,22,2.0
IDCJAC0016,081096,2016,07,23,10.2
IDCJAC0016,081096,2016,07,24,7.6
IDCJAC0016,081096,2016,07,25,8.8
IDCJAC0016,081096,2016,07,26,10.0
IDCJAC0016,081096,2016,07,27,9.0
IDCJAC0016,081096,2016,07,28,9.7
IDCJAC0016,081096,2016,07,29,7.6
IDCJAC0016,081096,2016,07,30,6.2
IDCJAC0016,081096,2016,07,31,11.2
IDCJAC0016,081096,2016,08,01,3.9
IDCJAC0016,081096,2016,08,02,12.4
IDCJAC0016,081096,2016,08,03,12.7
IDCJAC0016,081096,2016,08,04,12.8
IDCJAC0016,081096,2016,08,05,12.9
IDCJAC0016,081096,2016,08,06,12.1
IDCJAC0016,081096,2016,08,07,13.2
IDCJAC0016,081096,2016,08,08,12.7
IDCJAC0016,081096,2016,08,09,11.7
IDCJAC0016,081096,2016,08,10,13.4
IDCJAC0016,081096,2016,08,11,12.8
IDCJAC0016,081096,2016,08,12,9.1
IDCJAC0016,081096,2016,08,13,13.5
IDCJAC0016,081096,2016,08,14,12.9
IDCJAC0016,081096,2016,08,15,14.1
IDCJAC0016,081096,2016,08,16,14.4
